Unnamed: 0,Video link,Notes,Muscles used,Compound or isolation ,Unnamed: 5,Compound or isolation
Back Flyes,https://youtu.be/apcNuGp97sY,,General / Functional Muscles,,,Compound
Back Squats,,,General / Functional Muscles,,,Compound
Backwards Walking,,,General / Functional Muscles,,,Compound
Ballance assessment,,Stand on one leg with other foot lifted off the floor. Time how long they can balance before needing support. Repeat on both sides.,General / Functional Muscles,,,Compound
Banded Dorsiflexion,https://youtu.be/SBrHvR0BomM,,General / Functional Muscles,,,Compound
Banded Eversion,https://youtu.be/MApDr7fmBfM,,General / Functional Muscles,,,Compound
Banded Hip Flexion,,,General / Functional Muscles,,,Compound
Banded Hip Hinge,,,General / Functional Muscles,,,Compound
Banded Inversion,https://youtu.be/DLcPpPFFABc,,General / Functional Muscles,,,Compound
Banded Knee Holds,https://youtu.be/DwxutryDYJU,,General / Functional Muscles,,,Compound
Banded Leg Drive,,,General / Functional Muscles,,,Compound
Banded Planterflexion,https://youtu.be/q05uYN_-vuE,,General / Functional Muscles,,,Compound
Banded Pull Through,,,General / Functional Muscles,,,Compound
Banded Single Leg Halo's,,"With a resistance band round the feet, lift one leg up. With a kettlebell held in both hands on the horns move the kettlebell round the head",General / Functional Muscles,,,Compound
Banded Single Leg Overhead Press,,Small resistance band round the feet. Lift one leg off the floor and lift a plate weight over head,"Shoulders, Triceps",,,Compound
Barbell Row,https://youtu.be/Nqh7q3zDCoQ,,"Lats, Rhomboids, Biceps",,,Compound
Battle Ropes,,,General / Functional Muscles,,,Compound
Bear Crawls,https://youtu.be/AgxTejACWM8,,General / Functional Muscles,,,Compound
Bear Pull Throughs,,,General / Functional Muscles,,,Compound
Bench Dips,,,General / Functional Muscles,,,Compound
Bench Press,https://youtu.be/hWbUlkb5Ms4,,"Chest, Triceps, Shoulders",,,Compound
Bench Press Hold,,Un rack the bar and hold for 15-30 seconds before repacking,"Chest, Triceps, Shoulders",,,Compound
Bench Press Pause Reps,,Bar comes to chest and pause for 1-2 seconds,"Chest, Triceps, Shoulders",,,Compound
Bent Knee Calf Raises,,,General / Functional Muscles,,,Compound
Bent Over Lat Stretch,https://youtu.be/IlbRqpmCEsY,,General / Functional Muscles,,,Compound
Bicep Curl Test,,"This test requires the athlete to complete as many biceps curls as possible with no rest.
The athlete warms up for 10 minutes 
The assistant selects a dumbbell weight close to the athlete's one repetition maximum load 
The assistant adjusts the inclined backrest to 30 degrees to the vertical 
The athlete stands behind the inclined backrest with the arm, palm up, and forearm resting on the inclined surface 
The assistant hands the athlete the dumbbell, which also rests against the inclined surface 
The athlete flexes the elbow to a vertical forearm position, lowers the dumbbell down onto the backrest and continues with biceps curls until unable to continue. The upper arm must remain in contact with the bench's backrest at all times 
The assistant counts the number of successful curls 
If the number of curls exceeds ten, then the athlete rests for 10 minutes, the assistant increases the resistance and the athlete repeats the test 
The assistant uses the maximum load calculator to determine the athlete's 1RM 
The test is repeated for the other arm",Biceps,,,Isolation
Bicep Curls,https://youtu.be/EHL__bKmZ1E,,General / Functional Muscles,,,Compound
Bicep Stretch,,,General / Functional Muscles,,,Compound
Biceps Behind Back Stretch,https://youtu.be/-9NIE9j4h3I,,General / Functional Muscles,,,Compound
Bicycle Crunches,https://youtu.be/9FGilxCbdz8,,General / Functional Muscles,,,Compound
Bird Dog Rows,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
BlazePods - Colour Catch,,,General / Functional Muscles,,,Compound
BlazePods - Colour Match Cups,,,General / Functional Muscles,,,Compound
BlazePods - One Leg Balance,,,General / Functional Muscles,,,Compound
BlazePods - Plank Focus,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
BlazePods - Reach Over Rotation Crunches,,,General / Functional Muscles,,,Compound
BlazePods - Reflex Gauntlet,,,General / Functional Muscles,,,Compound
BlazePods - Resistance Band Challenge,,,General / Functional Muscles,,,Compound
BlazePods - RIW Impulse Reaction,,,General / Functional Muscles,,,Compound
BlazePods - Shuttle Run,,,General / Functional Muscles,,,Compound
BlazePods - Triangle Challenge,,,General / Functional Muscles,,,Compound
Bleep Test,,"This test requires the athlete to run 20m in time with a beep from a CD recording. The athlete must place one foot on or beyond the 20m marker at the end of each shuttle.
The athlete warms up for 10 minutes
The assistant measures out a 20-metre section and marks each end with marker cones
The assistant starts the CD, and the athlete commences the test 
If the athlete arrives at the end of a shuttle before the beep, the athlete must wait for the beep and then resume running
If the athlete fails to reach the end of the shuttle before the beep, they should be allowed 2 or 3 further shuttles to attempt to regain the required pace before being withdrawn
The assistant records the level and number of shuttles completed at that level by the athlete when they are withdrawn",General / Functional Muscles,,,Compound
Body Mass Index,,"Weight in kg and height in m

BMI = weight (kg) / height 2 (m)",General / Functional Muscles,,,Compound
Bodyweight Squats w/ Calf Raise,,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Bosu Ball Ballance,,,General / Functional Muscles,,,Compound
Bosu Ball Leg Kicks,,,General / Functional Muscles,,,Compound
Bounding,https://youtu.be/ssA-fx0ui60,,General / Functional Muscles,,,Compound
Box Jumps,,,General / Functional Muscles,,,Compound
Box Sit to Double Jump,,,General / Functional Muscles,,,Compound
Box Squats,,"Use a box or bench to squat down onto, helping you focus on proper depth and control, while building strength in the lower squat range.",General / Functional Muscles,,,Compound
Broad Jumps,,"Jump forward as far as possible, landing in a squat position.",General / Functional Muscles,,,Compound
Broad Jumps to Shuffle Back,https://youtu.be/GVVCvFtIcJs,,General / Functional Muscles,,,Compound
Bulgarian Side Hops,,,General / Functional Muscles,,,Compound
Bulgarian Split Squats,https://youtu.be/uODWo4YqbT8,,General / Functional Muscles,,,Compound
Bulgarian Split Squats - Jumping,,,General / Functional Muscles,,,Compound
Burpee Broad Jumps,,,"Full Body (Legs, Core, Shoulders)",,,Compound
Burpees,https://youtu.be/dZgVxmf6jkA,,General / Functional Muscles,,,Compound
Burpees w/ Step Up,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Butt Tap,,,General / Functional Muscles,,,Compound
Butterfly Stretch,,,General / Functional Muscles,,,Compound
Cable Bicep Curls,,,General / Functional Muscles,,,Compound
Cable Chest Flyes,,,General / Functional Muscles,,,Compound
Cable Chest Press,,,"Chest, Triceps, Shoulders",,,Compound
Cable Crossovers,,,General / Functional Muscles,,,Compound
Cable Flyes,https://youtu.be/tGXIQR89-JE,,General / Functional Muscles,,,Compound
Cable Leg Adduction,https://youtu.be/gdXIIVY8wIY,,General / Functional Muscles,,,Compound
Cable Machine Arm Pulls,,,General / Functional Muscles,,,Compound
Cable Reverse Crunch,,,Abdominals,,,Isolation
Cable Row,https://youtu.be/lJoozxC0Rns,,"Lats, Rhomboids, Biceps",,,Compound
Cable Russian Twists,,,General / Functional Muscles,,,Compound
Cable Side Bend,,,General / Functional Muscles,,,Compound
Cable Tricep Extentions,,,General / Functional Muscles,,,Compound
Cable Tricep Pushdowns,,,General / Functional Muscles,,,Compound
Calf Raise,https://youtu.be/eMTy3qylqnE,Keep feet facing forward,"Calves (Gastrocnemius, Soleus)",,,Isolation
Calf Stretches,,,General / Functional Muscles,,,Compound
Canadian Crunch Test,,"This test requires the athlete to perform curl-ups at a rate of 40/minute until they cannot maintain this rate.
The athlete warms up for 10 minutes
The assistant sets the metronome to 40 beats per minute (BPM)
The athlete lies on their back with arms extended to their sides 
The assistant places a strip of tape on the floor at the end of their fingertips 
The assistant places another piece of tape 3 inches away from the first strip 
The assistant gives the command “GO” and the athlete curls up (crunches), so their fingers move from one strip of tape to the next and back in time with the 40 BPM metronome
The athlete is to perform as many crunches as possible until they are unable to keep in time with the metronome or unable to continue
The assistant counts and records the number of correctly completed crunches which are then used to assess the athlete's performance",Abdominals,,,Isolation
Cat-Cow Stretches,,,General / Functional Muscles,,,Compound
Chair Squats,https://youtu.be/ATYX9LAbpdY,,General / Functional Muscles,,,Compound
Chest Dips,,,General / Functional Muscles,,,Compound
Chest Flyes,https://youtu.be/atcyT99YDeI,,General / Functional Muscles,,,Compound
Chest Pull Aparts,https://youtu.be/gU0jGkkLgNY,"Hold a resistance band at shoulder height and pull it apart, keeping arms straight.",General / Functional Muscles,,,Compound
Chest Stretch,,,General / Functional Muscles,,,Compound
Chest Supported Row,,,"Lats, Rhomboids, Biceps",,,Compound
Chest Supported Row - Single Arm,,,"Lats, Rhomboids, Biceps",,,Compound
Chester Step Test,,"To conduct this test, you will require:
A 15-30cm high bench or step
Stopwatch
Metronome or cadence tape
Heart rate monitor
Borg 6-20 perceived exertion table
An assistant
The box height is determined as follows:
15cm - is generally suitable for those over 40 years of age who take little or no regular physical exercise and for those under-40's who are moderately overweight. 
20cm - is generally suitable for those under 40 years of age who take little or no regular physical exercise and for those under-40's who are moderately overweight. 
25cm - is generally suitable for those over 40 years of age who regularly take physical exercise with moderately vigorous exertion. 
30cm - generally suitable for those under 40 years of age who regularly take physical exercise with moderately vigorous exertion
How to conduct the test
Before starting the test, the assistant needs to record:
The athlete's Maximum Heart Rate (MHR) - use 220-age
The athlete's 80% of Maximum Heart Rate (MHR80) - use MHR x 0.8
The Chester Step Test is conducted as follows:
The assistant explains to the athlete the test requirements.
You will step up and down onto the box in time with the metronome. 
Every 2-minutes, the metronome will be increased by five steps/minute. 
At every 2-minutes, I will record your heart rate and ask you to tell me the Borg rating for your perceived exertion, and if your heart rate is higher than your MHR80 or your perceived exertion level is above a specific value, then the test will end.
The test will end after 10 minutes of stepping
Continue stepping while I record your heart rate and ask for your perceived exertion level
The assistance checks the athlete's understanding of the test requirements.

Set the metronome to 15 beats/minute
The athlete steps up and down, one foot at a time, onto the box for 2 minutes 
After 2 minutes, set the metronome to 20 beats/min
The assistant records the athlete's heart rate (HR1)
The athlete identifies their perceived exertion value on the Borg Scale
If the heart rate is higher than the athlete's MHR80 value or their perceived exertion value is higher than 14, then stop the test

The athlete steps up and down, one foot at a time, onto the box for 2 minutes
After 2 minutes, set the metronome to 25 beats/min
The assistant records the athlete's heart rate (HR2)
The athlete identifies their perceived exertion value on the Borg Scale
If the heart rate is higher than the athlete's MHR80 value or their perceived exertion value is higher than 14, then stop the test

The athlete steps up and down, one foot at a time, onto the box for 2 minutes
After 2 minutes, set the metronome to 30 beats/min
The assistant records the athlete's heart rate (HR3)
The athlete identifies their perceived exertion value on the Borg Scale
If the heart rate is higher than the athlete's MHR80 value or their perceived exertion value is higher than 14, then stop the test

The athlete steps up and down, one foot at a time, onto the box for 2 minutes
After 2 minutes, set the metronome to 35 beats/min
The assistant records the athlete's heart rate (HR4)
The athlete identifies their perceived exertion value on the Borg Scale
If the heart rate is higher than the athlete's MHR80 value or their perceived exertion value is higher than 14, then stop the test

The athlete steps up and down, one foot at a time, onto the box for 2 minutes 
After 2 minutes, stop the test and record the athlete's heart rate (HR5)",General / Functional Muscles,,,Compound
Childs Pose,,,General / Functional Muscles,,,Compound
Childs Pose with Side Stretch,,,General / Functional Muscles,,,Compound
Chin Tucks,,,General / Functional Muscles,,,Compound
Chin Up Test,,"The athlete warms up for 10 minutes
The athlete hangs from the bar with the palms of their hands facing them and arms straight (start position)
The athlete, using the arms, pulls the body up until the chin is above the bar and then lowers the body to the start position
The athlete continues with the pull-ups until they are unable to continue or let go of the bar
The assistant counts and records the number of completed pull-ups","Lats, Rhomboids, Biceps",,,Compound
Clamshells,https://youtu.be/CiqvDV8pzRk,,General / Functional Muscles,,,Compound
Close Grip Bench Press,,,"Chest, Triceps, Shoulders",,,Compound
Close the Gate,https://youtu.be/nO6qMDlFTTE,,General / Functional Muscles,,,Compound
Cobra Stretch,,,General / Functional Muscles,,,Compound
Concentration Curls,,,General / Functional Muscles,,,Compound
Cooper 1.5 Mile Test,,Completing a 1.5 mile run as quickly as possible. If done on a treadmill change the incline to 1%,General / Functional Muscles,,,Compound
Cooper 3 Mile Test,,Walking 3 miles as quickly as possible without running,General / Functional Muscles,,,Compound
Copenhagen Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Core Muscle Strength and Stability Test,,"The assistant is responsible for instructing the athlete as to the position to assume at the appropriate stage. Throughout the test, the back, neck and head should be maintained in the posture as per figure below. If the athlete is unable to hold this position, then the test is to be stopped.
Stage 1 
The athlete warms upfor 10 minutes
The athlete, using the mat to support their elbows and arms, assumes the Start Position
Once the athlete is in the correct position, the assistant starts the stopwatch
The athlete is to hold this position for 60 seconds 
Stage 2
The athlete lifts their right arm off the ground and extends it out in front of them parallel with the ground
The athlete is to hold this position for 15 seconds 
Stage 3
The athlete returns to the Start Position, lifts the left arm off the ground and extends it out in front of them parallel to the ground
The athlete is to hold this position for 15 seconds
Stage 4 
The athlete returns to the Start Position, lifts the right leg off the ground and extends it out behind them parallel to the ground
The athlete is to hold this position for 15 seconds
Stage 5
The athlete returns to the Start Position, lifts the left leg off the ground and extends it out behind them parallel to the ground
The athlete is to hold this position for 15 seconds
Stage 6
The athlete returns to the Start Position, lifts the left leg and right arm off the ground and extends them out parallel with the ground
The athlete is to hold this position for 15 seconds
Stage 7
The athlete returns to the Start Position, lifts the right leg and left arm off the ground and extends them out parallel with the ground
The athlete is to hold this position for 15 seconds
Stage 8
The athlete returns to the Start Position
The athlete is to hold this position for 30 seconds
Stage 9
End of test
The assistant records the stage at which the athlete is unable to maintain the correct body position or is unable to continue with the test.",General / Functional Muscles,,,Compound
Couch Stretch,https://youtu.be/TIJu5aWPke0,,General / Functional Muscles,,,Compound
Crab Walks,https://youtu.be/oz4ZK8yh0E0,,General / Functional Muscles,,,Compound
Cross Arm Stretch,,,General / Functional Muscles,,,Compound
Cross Body Bicep Curl,https://youtu.be/1iH6yRiI8ZE,,Biceps,,,Isolation
Cross Body Swings,,,General / Functional Muscles,,,Compound
Cross Tap Marching,,Tap right hand to left knee and left hand to right shoulder then switch and tap left hand to right knee and right hand to left shoulder,General / Functional Muscles,,,Compound
Crossbody Lat Pull Round,https://youtu.be/5fzQIFN6rP4,,General / Functional Muscles,,,Compound
Crunches,https://youtu.be/eeJ_CYqSoT4,,General / Functional Muscles,,,Compound
Curl Up Test,,"This test requires the athlete to complete as many curl-ups as possible at a rate of 20/minute.
The athlete warms upfor 10 minutes
The assistant sets the metronome to 20 beats per minute (BPM)
The athlete lies on the mat with their knees bent, feet flat on the floor and their hands resting on the thighs
The assistant, using their hands, supports the athlete's head - see Figure 1
The assistant gives the command “GO” and the athlete curls up, sliding their hands up their thighs until the fingertips touch the top of knee caps (see Figure 2) and then returns to the starting position (see Figure 1) in time with the 20 BPM metronome
The athlete is to perform as many curls as possible until they are unable to keep in time with the metronome
The assistant is to count and record the total number of curls which is then used to assess the athlete's performance",Biceps,,,Isolation
Curtsy Lunges,,"Step one leg behind and across, lowering into a curtsy-like position.",General / Functional Muscles,,,Compound
Cycle,,,General / Functional Muscles,,,Compound
Dead Bugs,https://youtu.be/DqLL45uk2Tk,,General / Functional Muscles,,,Compound
Dead Hangs,https://youtu.be/XPcT3capkyk,,General / Functional Muscles,,,Compound
Deadlift High Pull,,,"Hamstrings, Glutes, Lower Back",,,Compound
Deadlifts,https://youtu.be/r4MzxtBKyNE,,General / Functional Muscles,,,Compound
Decline Dumbbell Chest Press,,,"Chest, Triceps, Shoulders",,,Compound
Decline Dumbell Press,,,General / Functional Muscles,,,Compound
Decline Push Ups,https://youtu.be/Ty8D4iFmFOI,,General / Functional Muscles,,,Compound
Deep Squat Hold,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Deficit Deadlifts,,,General / Functional Muscles,,,Compound
Devil's Halo,https://youtu.be/PUqih2JUY1g,,General / Functional Muscles,,,Compound
Diagonal Pogo Jumps,,,General / Functional Muscles,,,Compound
Diaphagmatic Breating,,,General / Functional Muscles,,,Compound
Dips,https://youtu.be/Xrk8NL5EXWQ,,General / Functional Muscles,,,Compound
Donkey Calf Raise,https://youtu.be/r30EoMPSNns,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Donkey Kicks,https://youtu.be/JsDRMr1T7Is,,General / Functional Muscles,,,Compound
Doorway Stretch,https://youtu.be/B9uY01NoqBg,,General / Functional Muscles,,,Compound
Dorsal Raise,https://youtu.be/nzUtx1FVcx0,opposite arm and leg,General / Functional Muscles,,,Compound
Double Leg Bounds,,,General / Functional Muscles,,,Compound
Downward Dog Calf Pedals,,,General / Functional Muscles,,,Compound
Downward Dog into Cobra Stretch,,,General / Functional Muscles,,,Compound
Drop Jumps,,,General / Functional Muscles,,,Compound
Duck Walks,https://youtu.be/qM3GNLKI9rg,,General / Functional Muscles,,,Compound
Dumbbel Thrusters,,,General / Functional Muscles,,,Compound
Dumbbell Chest Flyes,,,General / Functional Muscles,,,Compound
Dumbbell Chest Press,,,"Chest, Triceps, Shoulders",,,Compound
Dumbbell Clean and Press,,,"Full Body (Legs, Core, Shoulders)",,,Compound
Dumbbell Deadlift to Clean & Press,,,"Hamstrings, Glutes, Lower Back",,,Compound
Dumbbell Deadlift to Upright Row,https://youtu.be/_zxfeNHS02U,,"Hamstrings, Glutes, Lower Back",,,Compound
Dumbbell Deadlifts,,,General / Functional Muscles,,,Compound
Dumbbell Floor Press,,,General / Functional Muscles,,,Compound
Dumbbell Lunges,https://youtu.be/TwEH620Pn6A,,General / Functional Muscles,,,Compound
Dumbbell Press,https://youtu.be/z6A4W5Dib28,,General / Functional Muscles,,,Compound
Dumbbell Pullover,https://youtu.be/jQjWlIwG4sI,,General / Functional Muscles,,,Compound
Dumbbell Pullover Crunch on Swiss Ball,,,Abdominals,,,Isolation
Dumbbell Reverse Fly,,"In a bent-over position, raise the dumbbells outward to shoulder height, focusing on the rear deltoids and upper back.",Deltoids,,,Isolation
Dumbbell Row,https://youtu.be/DMo3HJoawrU,,"Lats, Rhomboids, Biceps",,,Compound
Dumbbell Shoulder Press,,,"Shoulders, Triceps",,,Compound
Dumbbell Single Leg Sit Downs,,"Dumbbell in hands, ballance on one leg, sit down onto box.",General / Functional Muscles,,,Compound
Dumbbell Snatch,,,"Full Body (Legs, Core, Shoulders)",,,Compound
Dumbbell Squats,,,General / Functional Muscles,,,Compound
Dumbbell Thrusters,https://youtu.be/5p7xFs_Hld4,,General / Functional Muscles,,,Compound
Dynamic Stretches,,,General / Functional Muscles,,,Compound
Eccentric + Isometric Press Ups,,,"Quadriceps, Glutes",,,Isometric
Eccentric Press Ups,,,General / Functional Muscles,,,Compound
Elevated Kettlebell Lift,,,General / Functional Muscles,,,Compound
Eliptical,,,General / Functional Muscles,,,Compound
Explosive Step Ups,,,General / Functional Muscles,,,Compound
Extensor Forearm Stretch,,,General / Functional Muscles,,,Compound
Face Pulls,,,General / Functional Muscles,,,Compound
Farmer Walks,https://youtu.be/NH7Xv-7NQNQ,,"Grip, Core, Shoulders, Legs",,,Isometric
Farmer Walks - Single Arm,,,"Grip, Core, Shoulders, Legs",,,Isometric
Figure 8 Hops,,,General / Functional Muscles,,,Compound
Fire Hydrants,https://youtu.be/jNZqsyNNfB8,,General / Functional Muscles,,,Compound
Flexed Arm Hang Test,,"This test requires the athlete to perform and hold a chin-up position, using a bar above head height, for as long as possible.
The athlete warms up for 10 minutes
The athlete uses a flexed arm hang position with the palms of the hand facing them
Using their arms, the athlete raises their chin above the bar to the ""start position""
Once the athlete is in the ""start position"" the assistant starts the stopwatch
The athlete is to maintain the ""start position"" for as long as possible
The assistant stops the stopwatch when the athlete's chin drops below the top of the bar or 30 seconds have elapsed
The assistant records the time the ""start position "" was held for",General / Functional Muscles,,,Compound
Flexor Forearm Stretch,,,General / Functional Muscles,,,Compound
Floor to Knee Deadlift,,,"Hamstrings, Glutes, Lower Back",,,Compound
Flutter kicks,https://youtu.be/ZB1SwBRVLCc,,General / Functional Muscles,,,Compound
Flying 30s,,,General / Functional Muscles,,,Compound
Foam Rolling,,,General / Functional Muscles,,,Compound
Forward Bends,,,General / Functional Muscles,,,Compound
Forward to Side Hops,,"Stand on one foot. Hop forwards, and then to the side, landing on the other foot.",General / Functional Muscles,,,Compound
Front Flyes,https://youtu.be/atcyT99YDeI,,General / Functional Muscles,,,Compound
Front Squats,,,General / Functional Muscles,,,Compound
Full Body Dynamic Stretching,,,General / Functional Muscles,,,Compound
Gentle Jog,,,General / Functional Muscles,,,Compound
Gentle Jog followed by 250m Row,,,"Lats, Rhomboids, Biceps",,,Compound
Glute Bridge March,,,"Glutes, Hamstrings",,,Compound
Glute Bridges,https://youtu.be/wPM8icPu6H8,,General / Functional Muscles,,,Compound
Glute Bridges - Resistance Bands,,,General / Functional Muscles,,,Compound
Glute Stretch,,,General / Functional Muscles,,,Compound
Goal Posts,https://youtu.be/bHWBWvLAbIc,,General / Functional Muscles,,,Compound
Goblet Squats,https://youtu.be/eLX_dyvooKQ,"Hold a dumbbell or kettlebell at chest height and squat deep, driving through your heels to stand back up. Helps improve depth and stability.",General / Functional Muscles,,,Compound
Good Mornings,https://youtu.be/F786H3sBJP0,,General / Functional Muscles,,,Compound
Gorilla Row,https://youtu.be/ZuhSSlKBAcI,,"Lats, Rhomboids, Biceps",,,Compound
Hack Squat,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Half Bicycle Crunch,https://youtu.be/B3BFxLNUPSI,,Abdominals,,,Isolation
Half Kneeling Chops,,,General / Functional Muscles,,,Compound
Halo's,,,General / Functional Muscles,,,Compound
Hammer Curls,https://youtu.be/E4K-fZIuGQ8,,General / Functional Muscles,,,Compound
Hamstring Curls,,,General / Functional Muscles,,,Compound
Hamstring Stretch,https://youtu.be/inLULJztZh0,,General / Functional Muscles,,,Compound
Hand Eye Coordination Test,,"This test requires the athlete to throw and catch a tennis ball off a wall.
The athlete warms up for 10 minutes
The athlete stands two metres away from a smooth wall
The assistant gives the command ""GO"" and starts the stopwatch
The athlete throws a tennis ball with their right hand against the wall and catches it with the left hand, throws the ball with the left hand and catches it with the right hand. This cycle of throwing and catching is repeated for 30 seconds
The assistant counts the number of catches and stops the test after 30 seconds
The assistant records the number of catches",General / Functional Muscles,,,Compound
Hanging Knee Raises,,,General / Functional Muscles,,,Compound
Hanging Leg Raises,,,General / Functional Muscles,,,Compound
Heel Slides,,"Lie on your back with legs straight, slide your heels out and in, engaging your core and pelvic floor.",General / Functional Muscles,,,Compound
Heel Taps,,,General / Functional Muscles,,,Compound
Heel Taps to Floor,https://youtu.be/NC6On7xEe_E,,General / Functional Muscles,,,Compound
Heel to Butt Kicks,https://youtu.be/s-iQOKtNW3A,,General / Functional Muscles,,,Compound
Heel to toe walking,,,General / Functional Muscles,,,Compound
Heel Touches,https://youtu.be/5iszPDjaZ80,,General / Functional Muscles,,,Compound
Heel Walking,,"Sand on your heels, toes up. Walk forwards and backwards. Keep legs straight.",General / Functional Muscles,,,Compound
Hero Squat,,,"Quadriceps, Glutes, Hamstrings",,,Compound
High Knees,,,General / Functional Muscles,,,Compound
High Skips,,,General / Functional Muscles,,,Compound
High to Low Rows,,,General / Functional Muscles,,,Compound
Hill Sprints,,,General / Functional Muscles,,,Compound
Hinge to Squat,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Hip Bridges with Leg Extention,,,General / Functional Muscles,,,Compound
Hip Circles,,,General / Functional Muscles,,,Compound
Hip Dips Drill - A,,,General / Functional Muscles,,,Compound
Hip Dips Feet Drill - A,,"Get in push-up position with feet on a box, hands on the floor. Lower waist to the floor and raise up as high. As you can then return to the start do 10 reps, then jog 10 m.",General / Functional Muscles,,,Compound
Hip Dips Feet Drill - B,,"Get into push-up position with feet on box and hands on the floor, put one hand up in the air, then raise up as high as you can then return to start 10 reps on each side. then jog 10m",General / Functional Muscles,,,Compound
Hip Dips Feet Drill - C,,"Get into push-up position with feet on box and hands on the floor, put one foot up in the air, then raise up as high as you can then return to start 10 reps on each side. then jog 10m",General / Functional Muscles,,,Compound
Hip Dips Hands Drill - A,,"Get in push-up position with hands on a box, feet on the floor. Lower waist to the floor and raise up as high. As you can then return to the start do 10 reps, then jog 10 m.",General / Functional Muscles,,,Compound
Hip Dips Hands Drill - B,,"Get into push-up position with hands on box and feet on the floor, put one hands up in the air. T the floor, then raise up as high as you can then return to start 10 reps on each side. then jog 10m",General / Functional Muscles,,,Compound
Hip Dips Hands Drill - C,,"Get into push-up position with hands on box and feet on the floor, put one foot up in the air, then raise up as high as you can then return to start 10 reps on each side. then jog 10m",General / Functional Muscles,,,Compound
Hip Drop,https://youtu.be/PBB6P3mVpug,,General / Functional Muscles,,,Compound
